STNAME,T_POPLN,T_M_POPLN,T_F_POPLN,POPLN_M6,POPLN_F6,M_LITERATE,F_LITERATE,T_M_WORKER,T_F_WORKER
ANDAMAN & NICOBAR ISLANDS,356152,192972,163180,22885,21896,146831,106304,109162,27092
ANDHRA PRADESH,76210007,38527413,37682594,5187321,4984536,23444788,16489535,21662192,13231667
ARUNACHAL PRADESH,1097968,579941,518027,104833,101038,303281,181504,293612,189290
ASSAM,26655528,13777037,12878491,2289116,2208959,8188697,5826657,6870960,2667631
BIHAR,82998509,43243795,39754714,8652705,8153358,20644376,10465201,20483003,7491603
CHANDIGARH,900635,506938,393697,62664,52949,382686,260559,284419,56003
CHHATTISGARH,20833803,10474218,10359585,1800413,1754503,6711395,4461754,5531859,4148012
DADRA & NAGAR HAVELI,220490,121666,98824,20308,19891,72149,31755,75835,38287
DAMAN & DIU,158204,92512,65692,10685,9893,70992,36608,60569,12222
DELHI,13850507,7607234,6243273,1079618,937231,5700847,3963917,3960101,585133
GOA,1347668,687248,660420,75338,70630,541032,444530,375218,147637
GUJARAT,50671017,26385577,24285440,4000148,3532256,17833273,11994477,14477286,6778235
HARYANA,21144564,11363953,9780611,1833655,1501882,7480209,4613468,5715526,2661940
HIMACHAL PRADESH,6077900,3087940,2989960,418426,374711,2278386,1763235,1686658,1305803
JAMMU & KASHMIR,10143700,5360926,4782774,765394,720409,3060628,1746658,2679941,1073874
JHARKHAND,26945829,13885037,13060792,2522036,2434791,7646857,4130344,6659856,3449174
KARNATAKA,52850562,26898918,25951644,3690958,3491142,17661211,12773751,15235355,8299436
KERALA,31841374,15468614,16372760,1935027,1858119,12753602,12732086,7765645,2518242
LAKSHADWEEP,60650,31131,29519,4641,4450,24511,20172,13204,2150
MADHYA PRADESH,60348023,31443652,28904371,5579847,5202367,19672274,11920289,16194368,9599151
MAHARASHTRA,96878627,50400596,46478031,7146432,6524694,37184963,26780980,26852095,14321256
MANIPUR ,2166788,1095634,1071154,157682,150903,753466,557068,527216,417997
MEGHALAYA,2318822,1176087,1142735,237215,230764,614272,543603,568491,401655
MIZORAM,888573,459109,429464,73176,70558,350105,311340,263008,204151
NAGALAND,1990036,1047141,942895,147524,142154,640201,492122,488968,358828
ORISSA,36804660,18660570,18144090,2744552,2614258,11992333,7844722,9802006,4474482
PONDICHERRY,974345,486961,487384,59565,57594,378758,317609,258670,83985
PUNJAB,24358999,12985045,11373954,1763801,1408028,8442293,6314677,6960213,2167261
RAJASTHAN,56507188,29420011,27087177,5579616,5071386,18047157,9654853,14695802,9070853
SIKKIM,540851,288484,252367,39842,38353,189060,129275,165716,97327
TAMIL NADU,62405679,31400909,31004770,3725616,3509544,22809662,17714883,18100397,9777885
TRIPURA,3199203,1642225,1556978,222002,214444,1150707,871392,831346,328215
UTTAR PRADESH,166197921,87565369,78632552,16509033,15115595,48901413,26817871,40981558,13002266
UTTARANCHAL,8489349,4325924,4163425,712949,647083,3008875,2096907,1996177,1137859
WEST BENGAL,80176197,41465985,38710212,5824180,5590042,27452426,19743975,22388044,7093646
