STNAME,T_POPLN,T_M_POPLN,T_F_POPLN,POPLN_M6,POPLN_F6,M_LITERATE,F_LITERATE,T_M_WORKER,T_F_WORKER
ANDAMAN & NICOBAR ISLANDS,205706,111986,93720,18154,17667,71305,47148,57988,7129
ANDHRA PRADESH,48620882,24591875,24029007,4154898,4068920,9663607,4774646,14145823,8880682
ARUNACHAL PRADESH,753930,400966,352964,81643,80525,150095,68963,214238,136655
ASSAM,19926527,10304161,9622366,2059951,2012325,4836187,2982363,4960283,1275752
BIHAR,75021453,39045095,35976358,8046360,7729416,14975742,5069688,18943333,3881699
CHANDIGARGH,66186,40548,25638,6353,5783,22456,9497,26089,1285
DADRA & NAGAR HAVELI,126752,64499,62253,13133,13336,25706,11396,35965,20276
DAMAN & DIU,54043,28111,25932,4922,4592,17444,9965,14825,3382
DELHI,949019,525056,423963,104403,93975,330056,172092,252326,20538
GOA,690041,346169,343872,41190,40028,249196,191041,163203,63711
GUJARAT,27063521,13884299,13179222,2393808,2241520,7680019,4227275,7555776,2332654
HARYANA,12408904,6657334,5751570,1294035,1135232,3474151,1500775,3208785,371264
HIMACHAL PRADESH,4721681,2372193,2349488,398919,381052,1458039,980170,1157342,471783
KARNATAKA,31069413,15744942,15324471,2740028,2638713,7841549,4409071,8714434,4205292
KERALA,21418224,10512788,10905436,1471560,1410104,8400098,8082810,4721497,1455368
LAKSHADWEEP,22593,11530,11063,2224,2115,8251,6149,4356,600
MADHYA PRADESH,50842333,26164353,24677980,5320985,5087939,10638111,3864836,13886250,6644971
MAHARASHTRA,48395601,24536280,23859321,4504724,4290760,13970829,8015713,12771175,8609475
MANIPUR,1331504,682395,649109,115120,112255,383720,232237,314245,241482
MEGHALAYA,1444731,734865,709866,169339,167476,253522,201313,370511,240653
MIZORAM,371810,194414,177396,36786,35775,121942,94925,99722,69615
NAGALAND,1001323,522235,479088,85148,85200,277210,198356,242107,201352
ORISSA,27424753,13794955,13629798,2393321,2318896,6841189,3483189,7404111,1748415
PONDICHEERY,290800,147599,143201,22248,21433,95813,65704,78117,30317
PUNJAB,14288744,7569423,6719321,1253102,1100601,3834626,2464017,4157285,145465
RAJASTHAN,33938877,17686463,16252414,3655361,3357748,6684559,1494134,8698755,2480331
SIKKIM,369451,195277,174174,35385,34210,101510,61562,98734,51565
TAMIL NADU,36781354,18567717,18213637,2606230,2463170,10722930,6589231,10754066,5823637
TRIPURA,2335484,1202529,1132955,223798,216663,656440,406195,564238,117860
UTTAR PRADESH,111506372,59197138,52309234,11992665,11124818,24570015,7834474,29656004,4371720
WEST BENGAL,49370364,25442210,23928154,4717307,4572985,12860262,7378573,13022025,2091043
